Customer_ID,cluster_kmeans,dist_to_centroid,Age,Gender,Married,Dependents,Contract,Tenure_in_Months,Offer,Payment_Method,Monthly_Charge,Total_Charges,Avg_Monthly_GB_Download,Total_Long_Distance_Charges,Total_Revenue,Internet_Service,Streaming_TV,Streaming_Movies,Streaming_Music,Premium_Tech_Support,Device_Protection_Plan,Online_Security,Online_Backup,Referred_a_Friend,Number_of_Referrals,Satisfaction_Score,Unlimited_Data,Paperless_Billing,tenure_bucket,avg_revenue_per_month,total_spend_ratio,is_high_spender,num_services,monthly_charge_x_tenure,log_total_revenue
6486-LHTMA,2,106.45983314797172,67,Female,1,0,One Year,31,No Offer,Bank Withdrawal,90.7,2835.5,22,1372.06,4207.56,1,1,0,0,0,1,0,0,1,1,3,1,1,24-48 Months,135.7277419354839,0.6739060167888277,1,3,2811.7000000000003,8.344875825411117
9799-CAYJJ,0,948.8172333924276,79,Female,1,0,Two Year,2,Offer E,Bank Withdrawal,69.3,153.8,2,65.24,219.04,1,0,0,0,0,0,0,0,1,1,4,1,1,0-12 Months,109.52,0.7021548575602631,0,1,138.6,5.393809348007258
7690-KPNCU,1,2529.296146267331,20,Male,1,0,One Year,64,Offer B,Credit Card,73.05,4688.65,71,1704.96,6393.61,1,1,1,1,0,1,1,0,1,5,3,1,1,48+ Months,99.90015625,0.7333337504164313,0,6,4675.2,8.763210727008628
9576-ANLXO,0,820.5135096275844,30,Female,0,0,Month-to-Month,3,No Offer,Bank Withdrawal,69.55,222.3,30,78.78,301.08,1,0,0,0,0,0,0,0,0,0,1,1,1,0-12 Months,100.36,0.7383419689119172,0,1,208.64999999999998,5.710691882957136
1089-HDMKP,0,127.41459713504946,72,Male,0,1,Two Year,11,No Offer,Bank Withdrawal,54.55,601.25,23,130.46,731.71,1,0,0,0,1,0,0,1,0,0,4,1,1,0-12 Months,66.5190909090909,0.8217053204138252,0,3,600.05,6.596749989223459
1092-GANHU,0,1394.2783963227675,62,Male,0,0,Month-to-Month,17,No Offer,Bank Withdrawal,76.65,1313.55,7,520.37,1833.92,1,0,0,0,0,1,0,0,0,0,2,1,1,12-24 Months,107.87764705882353,0.7162526173442679,0,2,1303.0500000000002,7.514756162808061
2931-VUVJN,1,1576.9120741452798,71,Female,1,0,One Year,59,No Offer,Bank Withdrawal,94.05,5483.9,13,1129.26,6643.16,1,0,0,0,1,1,1,1,0,0,3,0,1,48+ Months,112.59593220338982,0.8254956978305504,1,5,5548.95,8.801493552321608
2077-DDHJK,1,2095.0081140655066,48,Female,1,0,Two Year,68,No Offer,Credit Card,70.9,4911.35,9,1863.88,6725.86,1,0,0,0,1,1,1,1,1,2,4,1,0,48+ Months,98.90970588235294,0.7302188865067071,0,5,4821.200000000001,8.813863746154514
9114-DPSIA,1,1884.3662237678082,22,Male,1,1,Two Year,72,No Offer,Credit Card,81.0,5750.0,59,196.56,5946.56,1,0,1,1,1,1,1,1,1,8,3,1,0,48+ Months,82.59111111111112,0.9669455954366893,1,7,5832.0,8.69073633039861
3494-JCHRQ,0,1113.5896493137452,38,Male,0,0,Month-to-Month,1,No Offer,Bank Withdrawal,70.05,70.05,20,27.89,97.94,1,0,0,0,0,0,0,0,0,0,2,1,1,0-12 Months,97.94,0.7152338166224219,0,1,70.05,4.594513605799563
2277-AXSDC,0,937.536264491273,46,Female,0,0,One Year,32,No Offer,Bank Withdrawal,19.75,624.15,0,1401.6,2025.75,0,0,0,0,0,0,0,0,0,0,4,0,0,24-48 Months,63.3046875,0.30810810810810807,0,0,632.0,7.614188803867816
1928-BXYIV,0,1137.5866223126068,47,Male,0,0,Month-to-Month,1,Offer E,Bank Withdrawal,61.15,61.15,3,17.07,78.22,1,0,0,0,0,0,1,1,0,0,4,1,0,0-12 Months,78.22,0.7817693684479673,0,3,61.15,4.372228792193771
7326-RIGQZ,0,404.92472691997637,48,Male,1,1,Month-to-Month,6,No Offer,Bank Withdrawal,69.8,377.85,20,231.0,608.85,1,0,0,0,0,0,0,0,1,9,4,1,1,0-12 Months,101.47500000000001,0.6205962059620597,0,1,418.79999999999995,6.413213025289247
8634-MPHTR,2,2733.641904706971,68,Male,1,0,Month-to-Month,47,No Offer,Bank Withdrawal,100.05,4871.05,19,421.59,5292.64,1,1,1,0,0,1,0,0,1,1,1,1,1,24-48 Months,112.60936170212767,0.9203441004867136,1,4,4702.349999999999,8.574261378963694
0064-SUDOG,0,677.6431582204768,48,Female,1,1,Two Year,12,No Offer,Bank Withdrawal,20.3,224.5,0,231.36,455.86,0,0,0,0,0,0,0,0,1,3,5,0,0,12-24 Months,37.98833333333334,0.4924757601017856,0,0,243.60000000000002,6.124376998227723
6972-SNKKW,0,835.28134952236,60,Female,0,0,Month-to-Month,6,No Offer,Mailed Check,20.0,109.2,0,284.76,393.96,0,0,0,0,0,0,0,0,0,0,3,0,0,0-12 Months,65.66,0.27718550106609813,0,0,120.0,5.978784493950608
3877-JRJIP,0,1135.7634049157596,50,Male,0,0,Month-to-Month,1,No Offer,Bank Withdrawal,59.85,59.85,28,22.05,81.9,1,1,0,0,0,0,0,0,0,0,2,1,1,0-12 Months,81.9,0.7307692307692307,0,2,59.85,4.417635062141249
7409-KIUTL,0,1111.3605126912225,80,Female,0,0,Month-to-Month,1,No Offer,Bank Withdrawal,71.0,71.0,5,28.64,99.64,1,0,0,0,0,0,0,0,0,0,3,1,1,0-12 Months,99.64,0.7125652348454435,0,1,71.0,4.611549792952131
3951-NJCVI,2,2423.0451084894294,76,Female,1,0,One Year,42,No Offer,Bank Withdrawal,95.05,3944.5,10,1776.18,5820.68,1,1,1,0,0,0,0,0,1,10,4,0,1,24-48 Months,138.58761904761906,0.6776699629596542,1,3,3992.1,8.669344158865076
8285-ABVLB,2,1239.8620259446436,34,Female,1,0,Two Year,70,No Offer,Credit Card,19.85,1328.35,0,2863.7,4158.76,0,0,0,0,0,0,0,0,0,0,4,0,0,48+ Months,59.41085714285715,0.31941011262972613,0,0,1389.5,8.333212659283351
0637-KVDLV,0,955.8554352841811,30,Male,0,0,Month-to-Month,2,Offer E,Bank Withdrawal,76.5,162.45,30,34.44,196.89,1,0,0,0,0,0,0,0,0,0,1,1,1,0-12 Months,98.445,0.8250799939052262,0,1,153.0,5.287711320760812
0260-ZDLGK,0,113.12746858680384,50,Female,0,1,Month-to-Month,9,No Offer,Credit Card,72.9,651.4,11,319.41,970.81,1,1,1,1,1,1,0,0,0,0,1,1,1,0-12 Months,107.86777777777777,0.6709860837857048,0,6,656.1,6.879160312102024
1548-ARAGG,0,754.5494946978079,28,Female,1,1,Month-to-Month,4,No Offer,Credit Card,58.5,224.85,52,140.8,365.65,1,0,0,0,1,0,0,1,1,9,3,1,1,0-12 Months,91.4125,0.6149323123205251,0,3,234.0,5.904407714539809
1987-AUELQ,2,113.27904058083391,46,Female,1,0,Two Year,71,No Offer,Credit Card,25.05,1873.7,0,3183.64,5057.34,0,0,0,0,0,0,0,0,0,0,5,0,0,48+ Months,71.23014084507042,0.37049120683995934,0,0,1778.55,8.528793645215888
2684-EIWEO,2,13.103127374644146,69,Female,0,0,Month-to-Month,30,No Offer,Credit Card,91.7,2758.15,19,1376.4,4134.55,1,0,0,0,0,1,1,1,0,0,1,1,0,24-48 Months,137.81833333333333,0.667097991317072,1,4,2751.0,8.327375609495338
1027-LKKQQ,1,1151.2001880248818,35,Female,1,1,Two Year,72,No Offer,Bank Withdrawal,80.45,5886.85,56,933.12,6819.97,1,1,1,1,1,1,1,0,1,3,3,1,1,48+ Months,94.72180555555556,0.8631782837754418,1,7,5792.400000000001,8.827756969462962
3717-OEAUQ,0,1018.062793103215,37,Male,0,0,Month-to-Month,2,Offer E,Credit Card,70.7,129.2,14,5.44,144.64,1,0,0,0,0,0,0,0,0,0,4,0,0,0-12 Months,72.32,0.8932522123893806,0,1,141.4,4.9811378233072325
7033-CLAMM,0,1182.5920873078444,60,Female,1,1,Two Year,48,Offer B,Bank Withdrawal,20.2,1027.25,0,894.72,1921.97,0,0,0,0,0,0,0,0,1,6,5,0,0,48+ Months,40.041041666666665,0.5344776453326535,0,0,969.5999999999999,7.561626144843064
1143-NMNQJ,0,942.6325982204362,39,Female,0,0,Month-to-Month,2,No Offer,Bank Withdrawal,85.7,169.8,6,28.14,197.94,1,0,1,1,0,0,0,0,0,0,2,1,1,0-12 Months,98.97,0.8578357077902395,1,3,171.4,5.293003271724268
6839-ITVZJ,0,1934.7321829121802,35,Female,1,0,Month-to-Month,26,No Offer,Bank Withdrawal,60.05,1616.15,13,580.58,2196.73,1,0,0,0,1,0,0,1,1,1,2,1,1,24-48 Months,84.48961538461539,0.7357071647403186,0,3,1561.3,7.69518028847375
8082-GHXOP,0,100.07307205797952,20,Male,0,1,Month-to-Month,13,Offer D,Credit Card,44.0,659.35,27,346.19,1005.54,1,0,0,1,0,0,0,0,0,0,3,1,0,12-24 Months,77.34923076923077,0.6557173260138831,0,2,572.0,6.914273985969253
3569-VLDHH,1,1804.7772763123003,59,Male,1,1,One Year,66,Offer A,Bank Withdrawal,75.1,5013.0,76,1947.0,6960.0,1,1,0,0,1,1,1,1,0,0,4,1,1,48+ Months,105.45454545454545,0.7202586206896552,0,6,4956.599999999999,8.848078421168667
3061-BCKYI,0,285.8003346388673,27,Male,0,0,Month-to-Month,14,Offer D,Credit Card,19.9,283.75,0,609.0,892.75,0,0,0,0,0,0,0,0,0,0,3,0,0,12-24 Months,63.767857142857146,0.3178381405768692,0,0,278.59999999999997,6.795426094008217
6424-ELEYH,0,782.3192759022741,39,Female,1,0,Month-to-Month,3,Offer E,Credit Card,74.75,229.5,13,105.54,335.04,1,0,0,0,0,0,0,0,1,1,1,1,1,0-12 Months,111.68,0.6849928366762177,0,1,224.25,5.817230200496646
9018-PCIOK,2,1511.268257974704,63,Female,0,0,Two Year,55,Offer B,Mailed Check,64.75,3617.1,20,1485.0,5102.1,1,0,1,1,0,1,0,1,0,0,3,1,1,48+ Months,92.76545454545455,0.7089433762568353,0,5,3561.25,8.537603477187858
3256-EZDBI,0,1251.6337474755255,71,Male,1,0,Month-to-Month,51,Offer B,Credit Card,29.45,1459.35,21,0.0,1459.35,1,0,0,0,0,0,0,1,1,1,4,1,1,48+ Months,28.61470588235294,1.0,0,2,1501.95,7.286431412000087
3249-VHRIP,2,1155.5645060549552,38,Female,0,0,Two Year,62,Offer B,Credit Card,43.6,2748.7,30,0.0,2748.7,1,0,1,1,0,1,0,1,0,0,4,1,1,48+ Months,44.33387096774193,1.0,0,5,2703.2000000000003,7.91924709380068
2921-XWDJH,2,352.8305157946727,76,Female,1,0,Two Year,38,No Offer,Bank Withdrawal,83.45,3147.15,15,129.96,3252.13,1,0,1,0,0,0,1,0,0,0,3,1,1,24-48 Months,85.58236842105264,0.9677196176044623,1,3,3171.1,8.087372888785822
5456-ITGIC,2,2090.405010121477,76,Male,1,0,Two Year,72,No Offer,Credit Card,64.45,4641.1,9,0.0,4641.1,1,1,1,1,1,1,1,1,1,9,5,1,1,48+ Months,64.45972222222223,1.0,0,8,4640.400000000001,8.442922129040952
7971-HLVXI,1,1084.8959345138737,62,Male,1,1,Two Year,72,Offer A,Credit Card,84.5,6130.85,20,3168.0,9298.85,1,0,1,1,0,0,0,0,1,4,5,1,1,48+ Months,129.15069444444444,0.6593127107115396,1,3,6084.0,9.137753549979015
3662-FXJFO,0,1015.0001615432429,44,Female,0,0,Two Year,54,Offer B,Credit Card,20.5,1035.7,0,584.82,1620.52,0,0,0,0,0,0,0,0,0,0,5,0,1,48+ Months,30.00962962962963,0.6391158393602054,0,0,1107.0,7.391119259929709
7779-LGOVN,0,582.4737564930556,74,Male,1,0,Month-to-Month,10,No Offer,Bank Withdrawal,86.65,856.65,4,465.0,1321.65,1,0,1,0,0,0,0,0,1,2,1,1,1,0-12 Months,132.16500000000002,0.6481670638974009,1,2,866.5,7.187392578850812
2480-EJWYP,1,355.13404092081237,66,Female,1,0,One Year,58,Offer B,Bank Withdrawal,97.8,5458.8,28,2631.46,8090.26,1,1,1,0,0,0,0,1,1,5,3,1,1,48+ Months,139.48724137931035,0.6747372766759041,1,4,5672.4,8.998539745761938
7544-ZVIKX,1,28.835729718605762,33,Male,1,1,One Year,58,No Offer,Bank Withdrawal,105.05,6004.85,10,1961.56,7966.41,1,1,1,1,1,1,0,0,1,2,5,1,1,48+ Months,137.35189655172414,0.7537711466017943,1,6,6092.9,8.98311475033814
6257-RJOHI,0,904.5750102970742,58,Male,0,0,Month-to-Month,4,Offer E,Credit Card,50.8,202.3,21,7.52,209.82,1,0,0,0,1,0,0,0,0,0,5,1,1,0-12 Months,52.455,0.9641597559813174,0,2,203.2,5.351004688827043
2011-TRQYE,0,232.4035754817055,59,Male,0,0,Month-to-Month,18,Offer D,Credit Card,33.5,600.0,26,0.0,600.0,1,0,0,0,0,1,0,1,0,0,2,1,1,12-24 Months,33.333333333333336,1.0,0,3,603.0,6.398594934535208
5789-LDFXO,0,665.2040008804788,60,Male,0,0,One Year,24,Offer C,Bank Withdrawal,24.6,592.65,0,1135.92,1728.57,0,0,0,0,0,0,0,0,0,0,3,0,0,24-48 Months,72.02374999999999,0.34285565525260764,0,0,590.4000000000001,7.455628101683637
6352-GIGGQ,1,209.29628587150637,19,Male,0,0,One Year,67,Offer A,Bank Withdrawal,88.8,5903.15,59,2500.44,8403.59,1,1,1,1,1,1,1,1,0,0,3,1,1,48+ Months,125.42671641791046,0.7024557361794185,1,8,5949.599999999999,9.036533264165104
6807-SIWJI,2,990.280530805722,47,Male,0,0,One Year,38,Offer C,Bank Withdrawal,104.85,3887.25,26,164.92,4052.17,1,1,1,1,0,0,1,1,0,0,4,1,1,24-48 Months,106.63605263157895,0.9593008190673146,1,6,3984.2999999999997,8.307254569987508
0426-TIRNE,0,1207.761891011677,54,Female,0,0,Month-to-Month,1,Offer E,Credit Card,20.9,20.9,0,15.51,36.41,0,0,0,0,0,0,0,0,0,0,3,0,0,0-12 Months,36.41,0.5740181268882175,0,0,20.9,3.6219380483600547
4291-TPNFG,1,66.41339338474154,56,Male,1,0,Two Year,72,Offer A,Bank Withdrawal,82.3,5980.55,30,2108.88,8229.43,1,0,1,1,1,1,1,1,1,1,3,0,1,48+ Months,114.2976388888889,0.7267271244788521,1,7,5925.599999999999,9.015593540179877
3746-EUBYR,0,1092.1953195197793,63,Male,1,0,Month-to-Month,1,Offer E,Bank Withdrawal,74.6,74.6,3,44.73,119.33,1,0,0,0,0,0,0,0,1,1,1,1,1,0-12 Months,119.33,0.6251571272940585,0,1,74.6,4.7902379684500715
9362-MWODR,2,921.9095308999442,63,Female,0,1,Month-to-Month,40,No Offer,Credit Card,64.1,2460.35,10,805.2,3265.55,1,1,0,0,1,0,1,0,0,0,3,1,1,24-48 Months,81.63875,0.7534259160018986,0,4,2564.0,8.091489661067069
7321-ZNSLA,0,283.16028444866515,58,Male,1,1,Two Year,13,No Offer,Credit Card,40.55,590.35,57,0.0,590.35,1,0,0,0,1,0,1,1,0,0,3,1,0,12-24 Months,45.41153846153846,1.0,0,4,527.15,6.382408058697126
0565-JUPYD,1,429.1027897794802,26,Male,0,0,One Year,63,No Offer,Credit Card,104.5,6590.8,85,1351.35,7942.15,1,1,0,0,1,1,1,1,0,0,4,1,0,48+ Months,126.06587301587301,0.8298508590243197,1,6,6583.5,8.980065201007257
8336-TAVKX,1,1302.677886511562,68,Female,1,0,Two Year,72,No Offer,Bank Withdrawal,78.45,5682.25,13,1139.04,6821.29,1,0,1,1,1,1,1,1,1,10,3,1,0,48+ Months,94.7401388888889,0.8330169220191489,0,7,5648.400000000001,8.827950471603085
3086-RUCRN,1,1750.9889635647069,33,Female,0,0,Month-to-Month,66,Offer A,Bank Withdrawal,103.1,6595.0,20,2847.24,9442.24,1,0,1,1,1,1,1,1,0,0,3,1,1,48+ Months,143.06424242424242,0.6984571457620226,1,7,6804.599999999999,9.153054420591902
3745-HRPHI,2,328.3098890846775,49,Male,1,1,Two Year,66,No Offer,Bank Withdrawal,54.65,3632.0,28,0.0,3585.25,1,1,1,1,1,1,0,0,0,0,5,1,0,48+ Months,54.321969696969695,1.0130395369918417,0,6,3606.9,8.184862367295574
9928-BZVLZ,0,291.47255041746484,58,Female,0,0,Two Year,12,Offer D,Credit Card,49.85,552.1,7,0.0,552.1,1,0,1,1,1,1,1,0,0,0,3,1,0,12-24 Months,46.00833333333333,1.0,0,6,598.2,6.315538817000633
0674-GCDXG,1,2066.6572474726954,20,Male,0,0,Two Year,63,Offer B,Bank Withdrawal,71.9,4479.2,85,2683.17,7162.37,1,0,1,1,1,1,1,0,0,0,4,1,1,48+ Months,113.68841269841269,0.6253795880413885,0,6,4529.700000000001,8.876735819615188
9027-TMATR,2,1357.5894616553066,42,Female,1,0,Two Year,43,No Offer,Bank Withdrawal,78.8,3460.3,27,1656.79,5092.19,1,1,1,1,1,1,1,0,1,1,4,1,1,24-48 Months,118.42302325581394,0.6795308109084697,0,7,3388.4,8.53565963229517
4910-AQFFX,0,134.01751363192307,30,Male,1,0,Month-to-Month,9,No Offer,Bank Withdrawal,79.35,661.25,59,285.03,956.28,1,0,0,0,0,1,0,0,1,1,3,0,1,0-12 Months,106.25333333333333,0.6914815744342662,0,2,714.15,6.864095929641722
3736-BLEPA,2,1237.8412053454697,50,Male,0,0,One Year,28,Offer C,Bank Withdrawal,91.25,2483.65,12,383.32,2866.97,1,1,0,0,1,0,0,1,0,0,5,1,1,24-48 Months,102.3917857142857,0.8662978684813585,1,4,2555.0,7.961359741413756
9220-CXRSC,1,2705.074530003515,56,Female,1,1,Two Year,69,No Offer,Credit Card,61.4,4059.85,19,2695.83,6755.68,1,0,0,0,1,0,1,0,1,10,3,1,0,48+ Months,97.90840579710145,0.6009535679605902,0,3,4236.599999999999,8.818286924135634
2452-KDRRH,1,1840.14086545614,76,Male,0,0,Two Year,67,No Offer,Credit Card,101.4,6841.05,19,2602.95,9444.0,1,1,1,0,0,1,0,0,0,0,4,1,1,48+ Months,140.955223880597,0.7243805590851334,1,4,6793.8,9.15324077993561
7471-WNSUF,0,2070.8163411514824,23,Male,1,0,One Year,60,Offer B,Bank Withdrawal,24.15,1505.9,0,985.2,2491.1,0,0,0,0,0,0,0,0,1,1,3,0,0,48+ Months,41.51833333333333,0.604512062944081,0,0,1449.0,7.820881007513136
9992-UJOEL,0,1063.5590432055333,22,Male,0,0,Month-to-Month,2,Offer E,Credit Card,50.3,92.75,51,37.24,129.99,1,0,0,0,0,0,0,1,0,0,5,1,1,0-12 Months,64.995,0.7135164243403338,0,2,100.6,4.875120984409557
5204-QZXPU,0,3.5589616945730995,50,Male,0,0,Month-to-Month,19,No Offer,Bank Withdrawal,39.65,733.35,21,0.0,733.35,1,1,0,0,0,1,0,0,0,0,1,1,1,12-24 Months,38.597368421052636,1.0,0,3,753.35,6.598985754199871
9481-SFCQY,0,652.2955909396496,44,Female,0,1,Month-to-Month,14,Offer D,Credit Card,59.8,824.85,24,617.96,1442.81,1,1,0,0,0,1,0,0,0,0,4,1,1,12-24 Months,103.05785714285715,0.5716968970273286,0,3,837.1999999999999,7.275040731848134
1247-QBVSH,2,1618.1361707898889,41,Female,1,1,Month-to-Month,43,Offer B,Mailed Check,50.2,2169.4,19,629.52,2798.92,1,0,0,0,0,0,0,1,1,1,4,1,0,24-48 Months,65.09116279069768,0.7750846755176997,0,2,2158.6,7.937346124326552
6478-HRRCZ,2,891.8951577276896,47,Male,1,0,One Year,32,No Offer,Credit Card,70.5,2201.75,6,1422.4,3624.15,1,0,1,1,1,0,1,1,1,7,4,1,0,24-48 Months,113.2546875,0.6075217637239076,0,6,2256.0,8.19565094574302
9838-BFCQT,2,683.017662424036,61,Male,1,1,Two Year,72,No Offer,Credit Card,26.1,1851.45,0,2442.24,4293.69,0,0,0,0,0,0,0,0,1,2,3,0,0,48+ Months,59.634583333333325,0.4312025320877847,0,0,1879.2,8.365134654863532
7268-IGMFD,0,1714.346653451385,75,Male,0,0,Two Year,18,Offer D,Bank Withdrawal,93.9,1743.9,25,34.56,1778.46,1,1,0,0,1,1,0,0,0,0,4,1,0,12-24 Months,98.80333333333334,0.9805674572382849,1,4,1690.2,7.484065226473388
0750-EBAIU,1,2495.932111189838,43,Male,0,0,One Year,52,Offer B,Bank Withdrawal,91.25,4738.3,12,1628.12,6366.42,1,1,0,0,0,1,1,0,0,0,3,1,0,48+ Months,122.43115384615385,0.7442644374703523,1,4,4745.0,8.758949642974137
0428-AXXLJ,0,319.656287842588,29,Male,0,0,One Year,25,Offer C,Bank Withdrawal,19.5,516.3,0,89.5,605.8,0,0,0,0,0,0,0,0,0,0,4,0,1,24-48 Months,24.232,0.8522614724331462,0,0,487.5,6.408199247474377
5820-PTRYM,2,2135.804830543205,75,Female,1,0,One Year,56,No Offer,Credit Card,68.45,4014.0,18,1501.92,5515.92,1,0,0,0,1,1,1,1,1,1,4,1,1,48+ Months,98.49857142857142,0.72771178697298,0,5,3833.2000000000003,8.615575012532894
3234-VKACU,0,987.7786670963087,21,Male,0,0,Month-to-Month,2,No Offer,Bank Withdrawal,70.3,132.4,48,47.04,179.44,1,1,1,1,1,0,0,0,0,0,3,1,0,0-12 Months,89.72,0.7378510922871155,0,5,140.6,5.1953983125401955
5309-TAIKL,0,485.43096027383126,42,Female,0,0,Month-to-Month,7,No Offer,Bank Withdrawal,62.8,418.3,21,58.03,476.33,1,0,1,1,1,1,0,0,0,0,4,1,0,0-12 Months,68.04714285714286,0.8781726954002478,0,5,439.59999999999997,6.1682080755878745
6834-NXDCA,0,738.4037811483668,30,Female,0,0,Month-to-Month,13,No Offer,Bank Withdrawal,23.9,300.8,53,0.0,300.8,1,0,0,0,0,0,0,0,0,0,3,1,1,12-24 Months,23.138461538461538,1.0,0,1,310.7,5.709764546333749
4622-YNKIJ,2,558.8053332902425,59,Male,0,0,Two Year,33,Offer C,Bank Withdrawal,88.95,3027.65,18,1572.12,4599.77,1,1,0,0,1,0,1,0,0,0,3,1,1,24-48 Months,139.38696969696971,0.6582176934933702,1,4,2935.35,8.433978959773173
1169-SAOCL,1,2072.8424311722656,45,Male,0,0,One Year,49,No Offer,Bank Withdrawal,106.65,5168.1,25,1103.48,6401.58,1,1,1,1,1,0,0,1,0,0,5,0,1,48+ Months,130.64448979591836,0.8073163187838003,1,6,5225.85,8.76445631311471
9391-EOYLI,0,437.9084957235709,77,Male,1,0,Month-to-Month,12,Offer D,Bank Withdrawal,80.45,950.2,19,83.64,1033.84,1,0,1,0,0,0,0,0,1,1,2,1,1,12-24 Months,86.15333333333332,0.9190977327245997,1,2,965.4000000000001,6.942002104377321
0330-BGYZE,1,468.0434286527279,48,Male,1,0,One Year,60,Offer B,Bank Withdrawal,102.5,6157.6,4,1153.2,7310.8,1,1,1,1,0,1,0,1,1,8,5,1,0,48+ Months,121.84666666666666,0.8422607648957706,1,6,6150.0,8.897244760462312
5067-WJEUN,2,1209.4063611757908,42,Male,1,1,Two Year,67,Offer A,Bank Withdrawal,54.2,3838.2,26,730.3,4578.5,1,0,0,0,0,0,1,1,1,1,4,0,1,48+ Months,68.33582089552239,0.8383094900076444,0,3,3631.4,8.429345100843042
8329-UTMVM,2,90.6227286831056,76,Male,0,0,One Year,27,Offer C,Bank Withdrawal,104.65,2964.0,19,928.53,3892.53,1,1,1,0,1,0,0,1,0,0,4,1,1,24-48 Months,144.1677777777778,0.7614584858690877,1,5,2825.55,8.267071480136964
9448-REEVD,0,1153.5588284317591,21,Male,1,0,Month-to-Month,1,No Offer,Credit Card,44.7,44.7,73,32.08,76.78,1,0,0,1,0,0,0,0,1,1,3,1,0,0-12 Months,76.78,0.5821828601198229,0,2,44.7,4.3538843287276014
3411-WLRSQ,0,740.8491533429051,80,Female,1,0,Month-to-Month,3,Offer E,Bank Withdrawal,74.6,239.05,17,118.53,387.58,1,0,0,0,0,0,0,1,1,3,5,0,1,0-12 Months,129.19333333333333,0.6167758914288664,0,2,223.79999999999998,5.962499068814967
5131-PONJI,2,2269.9803496159693,62,Male,1,1,Month-to-Month,49,Offer B,Credit Card,90.4,4494.65,20,575.26,5069.91,1,1,0,0,0,1,0,1,1,10,3,1,1,48+ Months,103.46755102040817,0.886534474970956,1,4,4429.6,8.531275567658819
